"자전거번호","등록일시","고장구분","등록날짜"
"SPB-00015","2018-06-24 14:05","타이어 ","2018-06-24"
"SPB-00015","2018-07-08 18:32","단말기","2018-07-08"
"SPB-00073","2018-04-04 14:45","체인","2018-04-04"
"SPB-00180","2018-05-09 23:54","타이어 ","2018-05-09"
"SPB-00192","2018-06-22 0:54","타이어 ","2018-06-22"
"SPB-00320","2018-07-12 20:46","안장","2018-07-12"
"SPB-00380","2018-04-28 15:06","체인","2018-04-28"
"SPB-00402","2018-01-28 2:31","기타 ","2018-01-28"
"SPB-00414","2018-06-24 1:44","페달","2018-06-24"
"SPB-00442","2018-08-03 23:27","체인","2018-08-03"
"SPB-00481","2018-09-11 9:29","타이어 ","2018-09-11"
"SPB-00553","2018-02-10 0:53","체인","2018-02-10"
"SPB-00553","2018-02-10 0:53","타이어 ","2018-02-10"
"SPB-00587","2018-07-16 21:37","체인","2018-07-16"
"SPB-00625","2018-07-04 4:32","기타 ","2018-07-04"
"SPB-00625","2018-07-04 4:32","체인","2018-07-04"
"SPB-00772","2018-09-27 19:37","안장","2018-09-27"
"SPB-00838","2018-08-15 4:10","단말기","2018-08-15"
"SPB-01001","2018-09-13 6:39","체인","2018-09-13"
"SPB-01001","2018-09-17 20:18","체인","2018-09-17"
"SPB-01001","2018-09-17 20:18","기타 ","2018-09-17"
"SPB-01083","2018-11-06 12:55","타이어 ","2018-11-06"
"SPB-01272","2018-07-12 13:43","타이어 ","2018-07-12"
"SPB-01272","2018-07-12 13:43","페달","2018-07-12"
"SPB-01272","2018-07-12 13:43","기타 ","2018-07-12"
"SPB-01282","2018-11-14 8:05","기타 ","2018-11-14"
"SPB-01283","2018-08-03 18:42","체인","2018-08-03"
"SPB-01283","2018-08-03 21:28","체인","2018-08-03"
"SPB-01378","2018-09-27 12:06","타이어 ","2018-09-27"
"SPB-01378","2018-09-27 12:06","안장","2018-09-27"
"SPB-01439","2018-05-31 20:59","체인","2018-05-31"
"SPB-01442","2018-05-04 8:51","체인","2018-05-04"
"SPB-01446","2018-10-09 22:52","기타 ","2018-10-09"
"SPB-01487","2018-10-03 22:52","페달","2018-10-03"
"SPB-01641","2018-07-06 17:23","체인","2018-07-06"
"SPB-01644","2018-05-31 21:26","안장","2018-05-31"
"SPB-01670","2018-07-12 20:04","체인","2018-07-12"
"SPB-01702","2018-05-27 20:24","단말기","2018-05-27"
"SPB-01702","2018-05-28 11:39","기타 ","2018-05-28"
"SPB-01702","2018-05-28 11:39","타이어 ","2018-05-28"
"SPB-01711","2018-08-09 21:52","안장","2018-08-09"
"SPB-01711","2018-08-09 21:52","단말기","2018-08-09"
"SPB-01720","2018-02-25 17:14","체인","2018-02-25"
"SPB-01811","2018-12-20 19:11","기타 ","2018-12-20"
"SPB-01869","2018-07-03 19:28","기타 ","2018-07-03"
"SPB-01899","2018-06-08 19:23","페달","2018-06-08"
"SPB-01950","2018-05-31 21:29","페달","2018-05-31"
"SPB-01950","2018-05-31 21:29","파손","2018-05-31"
"SPB-01951","2018-10-16 22:38","안장","2018-10-16"
"SPB-02028","2018-10-22 21:49","체인","2018-10-22"
"SPB-02033","2018-10-24 21:59","체인","2018-10-24"
"SPB-02033","2018-10-24 21:59","안장","2018-10-24"
"SPB-02100","2018-07-21 7:46","체인","2018-07-21"
"SPB-02100","2018-07-21 7:46","페달","2018-07-21"
"SPB-02116","2018-09-16 21:45","체인","2018-09-16"
"SPB-02135","2018-09-17 15:06","체인","2018-09-17"
"SPB-02135","2018-09-29 18:21","단말기","2018-09-29"
"SPB-02145","2018-09-06 14:01","체인","2018-09-06"
"SPB-02169","2018-04-27 22:15","단말기","2018-04-27"
"SPB-02225","2018-09-10 19:47","단말기","2018-09-10"
"SPB-02230","2018-07-24 22:02","체인","2018-07-24"
"SPB-02248","2018-08-21 22:30","기타 ","2018-08-21"
"SPB-02248","2018-08-21 22:30","체인","2018-08-21"
"SPB-02282","2018-10-03 4:33","기타 ","2018-10-03"
"SPB-02282","2018-10-03 4:33","안장","2018-10-03"
"SPB-02282","2018-10-03 4:33","체인","2018-10-03"
"SPB-02289","2018-09-09 21:43","체인","2018-09-09"
"SPB-02300","2018-08-14 23:32","타이어 ","2018-08-14"
"SPB-02317","2018-10-10 18:18","체인","2018-10-10"
"SPB-02387","2018-05-25 14:36","파손","2018-05-25"
"SPB-02387","2018-05-25 18:52","체인","2018-05-25"
"SPB-02387","2018-05-25 14:36","체인","2018-05-25"
"SPB-02402","2018-03-14 21:50","체인","2018-03-14"
"SPB-02444","2018-10-23 23:35","페달","2018-10-23"
"SPB-02458","2018-07-17 2:13","타이어 ","2018-07-17"
"SPB-02460","2018-06-05 18:56","페달","2018-06-05"
"SPB-02460","2018-06-15 12:15","체인","2018-06-15"
"SPB-02466","2018-05-25 17:56","기타 ","2018-05-25"
"SPB-02470","2018-10-09 21:59","페달","2018-10-09"
"SPB-02470","2018-10-09 21:59","안장","2018-10-09"
"SPB-02496","2018-04-29 7:50","안장","2018-04-29"
"SPB-02547","2018-07-13 12:02","기타 ","2018-07-13"
"SPB-02576","2018-10-12 18:26","안장","2018-10-12"
"SPB-02576","2018-10-19 18:01","기타 ","2018-10-19"
"SPB-02587","2018-05-03 22:51","기타 ","2018-05-03"
"SPB-02591","2018-06-04 8:43","체인","2018-06-04"
"SPB-02656","2018-04-29 19:40","체인","2018-04-29"
"SPB-02668","2018-09-10 20:35","기타 ","2018-09-10"
"SPB-02668","2018-09-10 20:35","체인","2018-09-10"
"SPB-02712","2018-06-04 10:01","체인","2018-06-04"
"SPB-02739","2018-05-09 8:26","안장","2018-05-09"
"SPB-02739","2018-05-09 18:12","안장","2018-05-09"
"SPB-02741","2018-09-17 21:26","기타 ","2018-09-17"
"SPB-02741","2018-09-19 7:58","페달","2018-09-19"
"SPB-02750","2018-12-19 9:10","페달","2018-12-19"
"SPB-02799","2018-10-07 22:56","기타 ","2018-10-07"
"SPB-02803","2018-06-20 18:12","안장","2018-06-20"
"SPB-02804","2018-10-19 8:23","단말기","2018-10-19"
"SPB-02824","2018-03-30 13:19","타이어 ","2018-03-30"
"SPB-02824","2018-07-17 15:41","기타 ","2018-07-17"
"SPB-02830","2018-05-31 23:30","체인","2018-05-31"
"SPB-02856","2018-10-01 21:26","체인","2018-10-01"
"SPB-02888","2018-11-23 14:53","단말기","2018-11-23"
"SPB-02899","2018-09-09 22:16","기타 ","2018-09-09"
"SPB-02906","2018-09-28 17:36","타이어 ","2018-09-28"
"SPB-02907","2018-12-19 21:44","안장","2018-12-19"
"SPB-02909","2018-09-18 17:43","안장","2018-09-18"
"SPB-02928","2018-07-13 7:23","기타 ","2018-07-13"
"SPB-02959","2018-03-02 11:35","타이어 ","2018-03-02"
"SPB-02959","2018-03-02 11:35","파손","2018-03-02"
"SPB-02959","2018-05-27 21:33","안장","2018-05-27"
"SPB-02965","2018-12-27 3:01","안장","2018-12-27"
"SPB-02966","2018-09-25 21:01","타이어 ","2018-09-25"
"SPB-03009","2018-06-23 15:40","체인","2018-06-23"
"SPB-03013","2018-05-09 18:40","체인","2018-05-09"
"SPB-03013","2018-05-09 18:40","타이어 ","2018-05-09"
"SPB-03058","2018-05-03 8:02","체인","2018-05-03"
"SPB-03132","2018-06-16 22:22","타이어 ","2018-06-16"
"SPB-03132","2018-06-16 22:22","기타 ","2018-06-16"
"SPB-03132","2018-06-28 7:23","안장","2018-06-28"
"SPB-03153","2018-05-03 9:18","페달","2018-05-03"
"SPB-03156","2018-10-15 12:21","단말기","2018-10-15"
"SPB-03171","2018-11-24 6:14","체인","2018-11-24"
"SPB-03171","2018-11-24 13:22","체인","2018-11-24"
"SPB-03210","2018-04-24 17:24","체인","2018-04-24"
"SPB-03236","2018-09-08 14:58","안장","2018-09-08"
"SPB-03292","2018-05-10 18:15","타이어 ","2018-05-10"
"SPB-03292","2018-05-10 18:15","기타 ","2018-05-10"
"SPB-03292","2018-05-10 18:15","단말기","2018-05-10"
"SPB-03294","2018-12-11 23:04","페달","2018-12-11"
"SPB-03294","2018-12-11 23:04","체인","2018-12-11"
"SPB-03351","2018-05-04 8:49","안장","2018-05-04"
"SPB-03362","2018-07-22 22:02","단말기","2018-07-22"
"SPB-03377","2018-11-17 18:47","체인","2018-11-17"
"SPB-03425","2018-07-24 4:28","단말기","2018-07-24"
"SPB-03463","2018-10-03 19:06","체인","2018-10-03"
"SPB-03463","2018-10-03 19:06","타이어 ","2018-10-03"
"SPB-03476","2018-05-06 16:32","체인","2018-05-06"
"SPB-03480","2018-05-26 8:27","체인","2018-05-26"
"SPB-03487","2018-06-29 3:56","체인","2018-06-29"
"SPB-03517","2018-09-30 11:26","단말기","2018-09-30"
"SPB-03521","2018-09-12 23:14","기타 ","2018-09-12"
"SPB-03521","2018-09-12 23:14","체인","2018-09-12"
"SPB-03565","2018-11-27 22:02","체인","2018-11-27"
"SPB-03587","2018-09-08 11:51","페달","2018-09-08"
"SPB-03589","2018-06-07 7:49","체인","2018-06-07"
"SPB-03591","2018-07-08 7:03","기타 ","2018-07-08"
"SPB-03591","2018-07-24 1:28","기타 ","2018-07-24"
"SPB-03715","2018-07-10 19:34","타이어 ","2018-07-10"
"SPB-03732","2018-11-05 19:14","체인","2018-11-05"
"SPB-03732","2018-11-05 19:14","페달","2018-11-05"
"SPB-03754","2018-08-06 16:48","기타 ","2018-08-06"
"SPB-03776","2018-07-29 17:21","기타 ","2018-07-29"
"SPB-03811","2018-07-20 13:13","기타 ","2018-07-20"
"SPB-03817","2018-10-18 20:58","체인","2018-10-18"
"SPB-03817","2018-10-22 7:36","체인","2018-10-22"
"SPB-03873","2018-05-20 11:47","기타 ","2018-05-20"
"SPB-03921","2018-05-20 3:04","안장","2018-05-20"
"SPB-03925","2018-05-28 21:41","체인","2018-05-28"
"SPB-03949","2018-06-23 1:48","체인","2018-06-23"
"SPB-03949","2018-09-22 23:57","체인","2018-09-22"
"SPB-03951","2018-08-25 14:40","단말기","2018-08-25"
"SPB-03953","2018-11-22 6:13","안장","2018-11-22"
"SPB-03953","2018-12-12 11:27","기타 ","2018-12-12"
"SPB-03953","2018-12-12 11:27","안장","2018-12-12"
"SPB-03953","2018-12-12 11:27","체인","2018-12-12"
"SPB-03982","2018-10-24 8:32","타이어 ","2018-10-24"
"SPB-03983","2018-08-03 3:37","페달","2018-08-03"
"SPB-03983","2018-08-03 3:37","체인","2018-08-03"
"SPB-04004","2018-10-07 20:46","단말기","2018-10-07"
"SPB-04019","2018-09-07 23:47","체인","2018-09-07"
"SPB-04035","2018-09-28 18:14","기타 ","2018-09-28"
"SPB-04048","2018-10-29 11:44","단말기","2018-10-29"
"SPB-04052","2018-05-27 23:09","안장","2018-05-27"
"SPB-04057","2018-09-08 20:32","체인","2018-09-08"
"SPB-04068","2018-10-08 18:35","단말기","2018-10-08"
"SPB-04077","2018-07-24 2:10","체인","2018-07-24"
"SPB-04084","2018-08-06 18:52","체인","2018-08-06"
"SPB-04116","2018-10-24 16:38","체인","2018-10-24"
"SPB-04122","2018-09-25 22:04","타이어 ","2018-09-25"
"SPB-04184","2018-09-26 21:45","안장","2018-09-26"
"SPB-04207","2018-10-22 7:54","안장","2018-10-22"
"SPB-04259","2018-09-11 20:44","기타 ","2018-09-11"
"SPB-04273","2018-07-04 19:43","안장","2018-07-04"
"SPB-04289","2018-09-20 15:48","기타 ","2018-09-20"
"SPB-04311","2018-09-30 16:11","기타 ","2018-09-30"
"SPB-04332","2018-09-06 18:47","타이어 ","2018-09-06"
"SPB-04332","2018-10-07 23:32","체인","2018-10-07"
"SPB-04412","2018-11-24 1:33","체인","2018-11-24"
"SPB-04417","2018-08-03 9:10","체인","2018-08-03"
"SPB-04431","2018-05-13 15:49","안장","2018-05-13"
"SPB-04440","2018-05-15 18:58","단말기","2018-05-15"
"SPB-04450","2018-08-19 20:56","기타 ","2018-08-19"
"SPB-04494","2018-09-23 15:39","기타 ","2018-09-23"
"SPB-04500","2018-10-18 8:51","타이어 ","2018-10-18"
"SPB-04555","2018-08-23 7:19","안장","2018-08-23"
"SPB-04616","2018-09-19 9:22","단말기","2018-09-19"
"SPB-04616","2018-09-19 9:22","타이어 ","2018-09-19"
"SPB-04628","2018-10-04 2:05","페달","2018-10-04"
"SPB-04628","2018-10-24 21:24","체인","2018-10-24"
"SPB-04654","2018-06-12 20:58","체인","2018-06-12"
"SPB-04682","2018-08-22 20:12","체인","2018-08-22"
"SPB-04682","2018-08-22 20:12","기타 ","2018-08-22"
"SPB-04708","2018-04-21 16:14","기타 ","2018-04-21"
"SPB-04708","2018-11-04 20:05","페달","2018-11-04"
"SPB-04713","2018-05-25 15:17","안장","2018-05-25"
"SPB-04722","2018-09-25 12:36","체인","2018-09-25"
"SPB-04754","2018-10-03 15:19","체인","2018-10-03"
"SPB-04754","2018-10-03 4:02","체인","2018-10-03"
"SPB-04754","2018-10-07 20:56","체인","2018-10-07"
"SPB-04758","2018-10-02 20:30","타이어 ","2018-10-02"
"SPB-04760","2018-08-30 18:27","체인","2018-08-30"
"SPB-04794","2018-07-04 20:44","안장","2018-07-04"
"SPB-04873","2018-07-11 22:25","안장","2018-07-11"
"SPB-04960","2018-09-11 18:26","페달","2018-09-11"
"SPB-05011","2018-05-14 0:06","기타 ","2018-05-14"
"SPB-05041","2018-05-29 8:13","안장","2018-05-29"
"SPB-05055","2018-06-29 22:57","단말기","2018-06-29"
"SPB-05079","2018-06-22 17:47","기타 ","2018-06-22"
"SPB-05094","2018-06-18 16:53","페달","2018-06-18"
"SPB-05125","2018-09-12 7:51","타이어 ","2018-09-12"
"SPB-05245","2018-10-22 2:30","체인","2018-10-22"
"SPB-05266","2018-09-29 15:35","안장","2018-09-29"
"SPB-05273","2018-08-26 20:24","페달","2018-08-26"
"SPB-05279","2018-11-05 19:35","단말기","2018-11-05"
"SPB-05287","2018-07-20 8:51","단말기","2018-07-20"
"SPB-05287","2018-09-12 22:46","기타 ","2018-09-12"
"SPB-05352","2018-04-19 23:30","기타 ","2018-04-19"
"SPB-05352","2018-04-19 23:30","체인","2018-04-19"
"SPB-05355","2018-11-23 12:17","체인","2018-11-23"
"SPB-05469","2018-10-14 22:05","타이어 ","2018-10-14"
"SPB-05473","2018-10-22 10:29","체인","2018-10-22"
"SPB-05473","2018-10-22 18:33","페달","2018-10-22"
"SPB-05483","2018-09-27 18:51","기타 ","2018-09-27"
"SPB-05520","2018-09-27 1:22","페달","2018-09-27"
"SPB-05520","2018-09-27 1:22","체인","2018-09-27"
"SPB-05520","2018-09-28 16:03","페달","2018-09-28"
"SPB-05521","2018-10-08 22:19","페달","2018-10-08"
"SPB-05521","2018-10-08 22:19","체인","2018-10-08"
"SPB-05549","2018-10-13 8:38","체인","2018-10-13"
"SPB-05549","2018-10-13 8:38","기타 ","2018-10-13"
"SPB-05549","2018-10-13 8:38","안장","2018-10-13"
"SPB-05585","2018-11-02 18:25","체인","2018-11-02"
"SPB-05591","2018-09-26 8:36","페달","2018-09-26"
"SPB-05619","2018-10-12 0:16","단말기","2018-10-12"
"SPB-05631","2018-10-07 20:10","기타 ","2018-10-07"
"SPB-05631","2018-10-09 16:45","기타 ","2018-10-09"
"SPB-05655","2018-06-03 22:28","기타 ","2018-06-03"
"SPB-05676","2018-11-13 20:51","단말기","2018-11-13"
"SPB-05683","2018-05-28 12:22","페달","2018-05-28"
"SPB-05684","2018-08-10 21:25","단말기","2018-08-10"
"SPB-05685","2018-09-24 0:57","기타 ","2018-09-24"
"SPB-05685","2018-09-24 0:57","안장","2018-09-24"
"SPB-05706","2018-12-10 22:28","안장","2018-12-10"
"SPB-05774","2018-08-21 22:56","타이어 ","2018-08-21"
"SPB-05820","2018-07-31 3:23","단말기","2018-07-31"
"SPB-05840","2018-07-24 7:44","타이어 ","2018-07-24"
"SPB-05849","2018-09-29 11:48","타이어 ","2018-09-29"
"SPB-05850","2018-08-20 19:49","페달","2018-08-20"
"SPB-05861","2018-07-15 11:04","안장","2018-07-15"
"SPB-05883","2018-04-30 9:36","체인","2018-04-30"
"SPB-05889","2018-07-21 21:09","체인","2018-07-21"
"SPB-05895","2018-09-22 18:19","타이어 ","2018-09-22"
"SPB-05898","2018-05-18 17:08","안장","2018-05-18"
"SPB-05910","2018-09-29 17:03","체인","2018-09-29"
"SPB-05910","2018-10-02 18:45","페달","2018-10-02"
"SPB-05914","2018-10-21 17:12","단말기","2018-10-21"
"SPB-05915","2018-11-13 21:03","기타 ","2018-11-13"
"SPB-05984","2018-05-06 20:23","파손","2018-05-06"
"SPB-05984","2018-05-06 20:23","체인","2018-05-06"
"SPB-06000","2018-10-30 6:39","페달","2018-10-30"
"SPB-06003","2018-09-05 10:49","기타 ","2018-09-05"
"SPB-06014","2018-09-04 7:31","안장","2018-09-04"
"SPB-06016","2018-09-24 20:37","기타 ","2018-09-24"
"SPB-06023","2018-07-21 17:48","기타 ","2018-07-21"
"SPB-06058","2018-08-19 18:46","타이어 ","2018-08-19"
"SPB-06061","2018-09-22 21:16","체인","2018-09-22"
"SPB-06068","2018-04-15 21:07","체인","2018-04-15"
"SPB-06071","2018-11-15 22:31","타이어 ","2018-11-15"
"SPB-06092","2018-07-12 7:23","기타 ","2018-07-12"
"SPB-06100","2018-10-02 19:03","기타 ","2018-10-02"
"SPB-06111","2018-09-10 21:06","기타 ","2018-09-10"
"SPB-06162","2018-06-23 11:10","체인","2018-06-23"
"SPB-06195","2018-10-04 2:11","단말기","2018-10-04"
"SPB-06197","2018-08-05 21:28","체인","2018-08-05"
"SPB-06212","2018-06-25 9:54","기타 ","2018-06-25"
"SPB-06214","2018-09-12 18:36","안장","2018-09-12"
"SPB-06216","2018-05-24 13:39","타이어 ","2018-05-24"
"SPB-06221","2018-11-07 20:53","체인","2018-11-07"
"SPB-06238","2018-10-13 9:05","기타 ","2018-10-13"
"SPB-06245","2018-06-21 19:25","단말기","2018-06-21"
"SPB-06245","2018-09-27 23:45","타이어 ","2018-09-27"
"SPB-06268","2018-06-08 3:33","안장","2018-06-08"
"SPB-06275","2018-09-27 18:32","기타 ","2018-09-27"
"SPB-06275","2018-09-27 18:32","체인","2018-09-27"
"SPB-06280","2018-09-28 21:38","기타 ","2018-09-28"
"SPB-06287","2018-08-18 20:12","타이어 ","2018-08-18"
"SPB-06314","2018-06-25 10:28","체인","2018-06-25"
"SPB-06314","2018-06-25 23:26","체인","2018-06-25"
"SPB-06339","2018-06-11 20:01","타이어 ","2018-06-11"
"SPB-06353","2018-09-11 18:09","기타 ","2018-09-11"
"SPB-06359","2018-11-02 5:02","단말기","2018-11-02"
"SPB-06388","2018-09-22 12:30","안장","2018-09-22"
"SPB-06388","2018-09-26 23:24","체인","2018-09-26"
"SPB-06410","2018-10-21 21:23","타이어 ","2018-10-21"
"SPB-06416","2018-11-13 20:50","체인","2018-11-13"
"SPB-06419","2018-09-12 21:34","기타 ","2018-09-12"
"SPB-06441","2018-07-27 23:46","체인","2018-07-27"
"SPB-06444","2018-06-18 19:14","안장","2018-06-18"
"SPB-06456","2018-04-26 8:15","기타 ","2018-04-26"
"SPB-06456","2018-04-26 8:15","체인","2018-04-26"
"SPB-06456","2018-09-17 23:39","체인","2018-09-17"
"SPB-06474","2018-05-21 8:33","파손","2018-05-21"
"SPB-06474","2018-05-21 8:33","체인","2018-05-21"
"SPB-06474","2018-05-21 8:33","안장","2018-05-21"
"SPB-06484","2018-05-29 18:04","기타 ","2018-05-29"
"SPB-06496","2018-09-12 8:17","체인","2018-09-12"
"SPB-06512","2018-09-16 9:26","기타 ","2018-09-16"
"SPB-06520","2018-06-29 21:43","체인","2018-06-29"
"SPB-06526","2018-09-09 11:30","체인","2018-09-09"
"SPB-06529","2018-10-15 19:18","체인","2018-10-15"
"SPB-06533","2018-03-20 9:29","기타 ","2018-03-20"
"SPB-06541","2018-08-08 23:41","페달","2018-08-08"
"SPB-06541","2018-08-08 23:41","체인","2018-08-08"
"SPB-06542","2018-07-21 17:48","단말기","2018-07-21"
"SPB-06547","2018-08-03 22:35","체인","2018-08-03"
"SPB-06549","2018-08-19 1:14","체인","2018-08-19"
"SPB-06551","2018-06-30 10:29","안장","2018-06-30"
"SPB-06580","2018-09-11 7:15","체인","2018-09-11"
"SPB-06582","2018-09-06 10:30","타이어 ","2018-09-06"
